Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
108324399,West Ridge,5.4 YDS,Trad,1,100.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Alpine Rock > RMNP - Rock > Pilot Mtn. > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108324399/west-ridge
0,Sign Up or Log In,,,1,,,,,,,https://www.mountainproject.com/edit/route/0?parentId=201165648
110975073,Moai Geddit,5.10- YDS,Trad,1,200.0,3.3,3.0,8.0,"Greg German, John Fields, 08/30/2015","All Locations > Colorado > Alpine Rock > Mt Blue Sky (fo… > Alpine Lite Cliffs > Easter Island > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110975073/moai-geddit
122932577,The Stoneman,5.9 YDS,Trad,1,100.0,3.0,1.0,1.0,"unknown, please share","All Locations > Colorado > Alpine Rock > RMNP - Rock > Glacier Gorge > Stoneman Pass > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122932577/the-stoneman
126156914,Child Of God,V11+ YDS,Boulder,1,14.0,3.0,1.0,0.0,"Davey G., 2012","All Locations > Colorado > Alpine Rock > RMNP - Rock > RMNP Bouldering… > RMNP Bouldering… > Infamous White Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126156914/child-of-god
109275464,Kneel Armstrong,5.11- YDS,Trad,1,60.0,2.7,10.0,11.0,"Ken Trout, Kirk Miller","All Locations > Colorado > Alpine Rock > Mt Blue Sky (fo… > Lincoln Lake Slabs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109275464/kneel-armstrong
126467091,East Flank to East Chimney,Easy 5th YDS,Trad,1,150.0,2.0,1.0,1.0,unknown,"All Locations > Colorado > Alpine Rock > San Juans > Northern San Ju… > Block Tops > T 4 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126467091/east-flank-to-east-chimney
106437408,Right Couloir from Boren Creek,5.3 YDS,Trad,1,,4.0,1.0,8.0,Probably by some miners around 1900,"All Locations > Colorado > Alpine Rock > San Juans > Babcock Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106437408/right-couloir-from-boren-creek
105757192,Great Dihedral,5.7 YDS,Trad,3,400.0,2.7,137.0,386.0,unknown,"All Locations > Colorado > Alpine Rock > RMNP - Rock > Hallett Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757192/great-dihedral
112914854,Veritas,V8+ YDS,Boulder,1,,3.2,9.0,8.0,unknown,"All Locations > Colorado > Alpine Rock > RMNP - Rock > RMNP Bouldering… > RMNP Bouldering… > Veritas > 
                    Sort Routes
            ",https://www.mountainproject.com/route/112914854/veritas
105758745,Koren's Rain Dance,5.7 YDS,Trad,3,600.0,2.3,3.0,4.0,Brad Brandewie and Koren Nydick,"All Locations > Colorado > Alpine Rock > RMNP - Rock > Long's Peak > W Face > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758745/korens-rain-dance
107278817,Southwest Chimney,5.5 YDS,Trad,2,80.0,3.3,21.0,48.0,"Henry Buchtel + 6 CMC climbers, 1929","All Locations > Colorado > Alpine Rock > San Juans > Uncompahgre/Big… > Coxcomb Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107278817/southwest-chimney
126553147,North Arete,5.2 YDS,Trad,3,200.0,3.0,1.0,0.0,"T. M. Griffiths, Gordon K. Williams, and D. G. Lavender, July 3, 1932","All Locations > Colorado > Alpine Rock > San Juans > Northern San Ju… > Hand > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126553147/north-arete
124780667,Brandon's Catastrophe,V0 YDS,Boulder,1,10.0,2.0,1.0,0.0,John Rehagen,"All Locations > Colorado > Alpine Rock > Indian Peaks > Crater Lake Bouldering > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124780667/brandons-catastrophe
106573921,East Face Center,5.11 YDS,Trad,9,1050.0,0.0,0.0,0.0,unknown,"All Locations > Colorado > Alpine Rock > Indian Peaks > Lone Eagle Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106573921/east-face-center
114572661,Tickfest,V7 YDS,Boulder,1,8.0,3.4,17.0,24.0,Ben Scott,"All Locations > Colorado > Alpine Rock > Mt Blue Sky (fo… > Mt Blue Sky (fo… > Area A > Bierstadt Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/114572661/tickfest
105750394,Shooting Star,,Trad,1,,3.1,20.0,29.0,unknown,"All Locations > Colorado > Alpine Rock > Indian Peaks > James Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750394/shooting-star
126551277,East Ridge,3rd YDS,Trad,1,1700.0,2.0,2.0,1.0,unknown,"All Locations > Colorado > Alpine Rock > Lenawee Mountain > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126551277/east-ridge
108206645,Shoe Fetish,5.11- YDS,Trad,5,1200.0,2.4,7.0,4.0,"Perhaps J. Finkelstein, B. Collett, June 2013","All Locations > Colorado > Alpine Rock > RMNP - Rock > Stiletto > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108206645/shoe-fetish
121202190,B Line,5.7+ YDS,Trad,1,90.0,2.0,3.0,7.0,unknown,"All Locations > Colorado > Alpine Rock > Mt Blue Sky (fo… > Lincoln Lake Slabs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121202190/b-line
110563162,Garfield,V8 YDS,Boulder,1,15.0,2.9,19.0,25.0,unknown,"All Locations > Colorado > Alpine Rock > RMNP - Rock > Wild Basin (bou… > Main Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110563162/garfield
109387489,Jack Mormon,5.11a YDS,Trad,5,800.0,2.0,1.0,0.0,Mark Ferguson and Chris Sheridan 6-29-14,"All Locations > Colorado > Alpine Rock > RMNP - Rock > Seldom Seen Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109387489/jack-mormon
107501975,Northeast Ridge,3rd YDS,Trad,1,,2.3,17.0,33.0,unknown,"All Locations > Colorado > Alpine Rock > San Juans > Needles > W Needle Mountains > Snowdon Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107501975/northeast-ridge
105756772,Running With The Bulls,5.11 YDS,Trad,5,900.0,2.0,2.0,1.0,"Andy Donson, Terry Murphy","All Locations > Colorado > Alpine Rock > RMNP - Rock > Cathedral Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105756772/running-with-the-bulls
106193098,Tunnel of Love,5.10 YDS,Trad,3,300.0,2.0,2.0,2.0,MM & WH,"All Locations > Colorado > Alpine Rock > RMNP - Rock > Long's Peak > Ship's Prow > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106193098/tunnel-of-love
105846816,Texas Wheelchair Massacre,5.7 YDS,Trad,1,1300.0,1.7,3.0,2.0,"Vince Anderson, Marc Beverly, Kevin Koprek, Mike Gibbs","All Locations > Colorado > Alpine Rock > San Juans > Engineer Pass > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105846816/texas-wheelchair-massacre
105750154,The Barb,5.10 YDS,Trad,9,,3.7,363.0,731.0,"FA: Fricke & Logan, 1970. FFA: McClure & Gulley, 1975","All Locations > Colorado > Alpine Rock > RMNP - Rock > Glacier Gorge > Spearhead > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750154/the-barb
119382545,The Dyno Problem,V5 YDS,Boulder,1,12.0,3.5,6.0,6.0,Wade David???,"All Locations > Colorado > Alpine Rock > Indian Peaks > Swissco (boulde… > Main Area > Boulder #2 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/119382545/the-dyno-problem
120883903,Gambler's Fallacy,5.13b YDS,Trad,9,1000.0,4.0,2.0,3.0,"Chris Weidner, Bruce Miller; August 2020","All Locations > Colorado > Alpine Rock > RMNP - Rock > Long's Peak > Diamond > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120883903/gamblers-fallacy
106906588,North Face of West Trinity Peak,Easy 5th YDS,Trad,5,1100.0,2.9,13.0,27.0,"John C. Ohrenschall and Doug Ward, 1962","All Locations > Colorado > Alpine Rock > San Juans > Grenadiers > W Trinity Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106906588/north-face-of-west-trinity-peak
126585014,East Ridge - Keller Mountain,3rd YDS,Trad,1,4500.0,3.0,2.0,2.0,unknown,"All Locations > Colorado > Alpine Rock > Gore Mtn Range > Keller Mountain > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126585014/east-ridge-keller-mountain
