Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105764727,Don't Pull on the Udder,5.8 YDS,Trad,1,,1.6,73.0,,"Pat and Azenda Thompson, 2001","All Locations > Colorado > Boulder > Boulder Canyon > Mine Hole Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105764727/dont-pull-on-the-udder
124663552,Kangaroof,5.11c YDS,Trad,2,,3.0,2.0,3.0,"Alec Sharp and Greg Child, 1979","All Locations > Colorado > Boulder > Boulder Canyon > Elephant Buttre… > Third Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124663552/kangaroof
105754909,Dampened Enthusiasm,5.12a YDS,Sport,1,,1.6,13.0,13.0,"Noel Childs, Dan Hare","All Locations > Colorado > Boulder > Boulder Canyon > Coney Island > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105754909/dampened-enthusiasm
105755836,Boulder Quartz System,5.12a YDS,Sport,1,75.0,3.2,205.0,,Vaino Kodas & Bob D'Antonio,"All Locations > Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Plotinus Wall > Right Side > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755836/boulder-quartz-system
105851112,Escutcheon,5.10c YDS,Trad,1,,2.0,1.0,2.0,"Vaino Kodas and Bob D'Antonio, 2003.","All Locations > Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Wall of Winter Warmth > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105851112/escutcheon
106124805,Hope and Pray,5.8 YDS,Trad,1,60.0,1.4,34.0,66.0,Greg Hand & Bob D'Antonio 3/19/08,"All Locations > Colorado > Boulder > Boulder Canyon > Animal World > Middle Animal World > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106124805/hope-and-pray
105759972,Invisible Idiot,5.9+ YDS,Trad,1,70.0,1.9,8.0,25.0,"Jim Erikson, Solo, 1978","All Locations > Colorado > Boulder > Boulder Canyon > Castle Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105759972/invisible-idiot
105761697,Lost and Found,5.12a YDS,Sport,1,,2.2,13.0,25.0,"Tod Anderson, 1997","All Locations > Colorado > Boulder > Boulder Canyon > Blob Rock Area > Little Blob > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761697/lost-and-found
105748885,The Big Dipper,5.10d YDS,Sport,1,,2.9,147.0,318.0,"Chris Alber, 1998","All Locations > Colorado > Boulder > Boulder Canyon > Sport Park > Clock Tower > Upper Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748885/the-big-dipper
106254542,Daedulus Direct,5.11c/d YDS,Trad,1,80.0,2.3,3.0,1.0,Dan Hare et al. (?),"All Locations > Colorado > Boulder > Boulder Canyon > Bell Buttress M… > Bell Buttress - Main… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106254542/daedulus-direct
105759042,Smokey the Bandit,V7-8 YDS,Boulder,1,10.0,2.5,2.0,1.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Castle Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105759042/smokey-the-bandit
108416899,Easy Crack,5.5 YDS,Trad,1,65.0,1.5,2.0,3.0,Bob Horan?,"All Locations > Colorado > Boulder > Boulder Canyon > Huck's Fins aka Sun D… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108416899/easy-crack
105761247,Mystic Mile,5.10c YDS,Sport,2,190.0,2.5,65.0,140.0,"Richard Rossiter, Steve Bartlett, 2000","All Locations > Colorado > Boulder > Boulder Canyon > Sleeping Beauty > Main Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761247/mystic-mile
109142270,Undertow,5.10 YDS,Trad,1,60.0,2.0,1.0,1.0,Cory Fleagle,"All Locations > Colorado > Boulder > Boulder Canyon > Catacombs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109142270/undertow
106174730,Moomin Papa's Little Adventure,5.11+ YDS,Trad,1,25.0,1.0,2.0,1.0,"Norie Kizaki, Ben Collett, June 2008","All Locations > Colorado > Boulder > Boulder Canyon > Avalon > Second Tier > Middle Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106174730/moomin-papas-little-adventure
106034755,Tiempos de Ceguera (Times of Blindness),5.13b YDS,Sport,1,70.0,3.8,4.0,2.0,"equipped by Roger Molina, Spain - FFA Justin Sjong","All Locations > Colorado > Boulder > Boulder Canyon > Bell Buttress M… > Bell Buttress - Main… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106034755/tiempos-de-ceguera-times-of-blindness
105748148,North Face Left,5.8 YDS,Trad,2,220.0,2.6,115.0,,"Layton Kor and partner, 1959","All Locations > Colorado > Boulder > Boulder Canyon > Cob Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748148/north-face-left
121219779,Zorra,5.10- YDS,Trad,1,40.0,0.0,0.0,1.0,"Francy Lang, Greg Miller, Shelby, 8/21","All Locations > Colorado > Boulder > Boulder Canyon > Lost Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121219779/zorra
105756106,Sleepless in Boulder,5.11b YDS,Sport,1,,2.9,268.0,,"Vaino Kodas, Bob D'Antonio, 2002","All Locations > Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Plotinus Wall > Left Side > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105756106/sleepless-in-boulder
106861045,Sofa Mart,5.11a YDS,Sport,1,35.0,1.7,9.0,17.0,"Greg Hand & Kent Lugbill, 2009","All Locations > Colorado > Boulder > Boulder Canyon > Couch Fire Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106861045/sofa-mart
107345416,Van Damage,5.13a/b YDS,Sport,1,45.0,2.9,17.0,33.0,Pink L. Bear,"All Locations > Colorado > Boulder > Boulder Canyon > Frisky Cliff > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107345416/van-damage
106304100,Beast Food Right,5.12a YDS,Sport,1,85.0,2.3,9.0,18.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Animal World > Lower Animal World > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106304100/beast-food-right
106029331,Crackdown,5.9 YDS,Trad,1,65.0,1.6,31.0,60.0,"Bruno Haché, Ron Olsen, and Nickie Kelly, 7/26/07","All Locations > Colorado > Boulder > Boulder Canyon > Tonnere Tower > Garden > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106029331/crackdown
106281414,Anoka Minnesota,5.8 YDS,Trad,1,30.0,1.0,1.0,0.0,"Jason Haas, solo 10/08","All Locations > Colorado > Boulder > Boulder Canyon > Long Walk Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106281414/anoka-minnesota
105749782,Joint Venture,5.11a YDS,Sport,2,,2.5,461.0,,"Richard Rossiter, and Leah Macaluso","All Locations > Colorado > Boulder > Boulder Canyon > Animal World > Lower Animal World > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105749782/joint-venture
106066494,Prayer Wheel,5.8 YDS,Trad,1,15.0,0.7,6.0,9.0,"Dan Hare, 1981","All Locations > Colorado > Boulder > Boulder Canyon > Truth or Consequences… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106066494/prayer-wheel
105748214,New Lease on Life,5.10a YDS,Sport,1,50.0,1.7,220.0,,"Pat Thompson, August 1998","All Locations > Colorado > Boulder > Boulder Canyon > Bihedral Area > Riviera > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748214/new-lease-on-life
105758260,Stigmata,5.10a YDS,Trad,1,50.0,2.4,97.0,,"Richard Rossiter and Gail Effron, 1997","All Locations > Colorado > Boulder > Boulder Canyon > Avalon > Second Tier > Clipboard Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758260/stigmata
123346978,Edge-a-macation,5.12a YDS,Sport,1,,2.0,1.0,1.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Hillbilly Rocks > Hillbilly Rock 3 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/123346978/edge-a-macation
105964940,Wide Jadodat,5.4 YDS,Trad,1,45.0,0.7,3.0,5.0,"Tony Bubb, 5/07 (?)","All Locations > Colorado > Boulder > Boulder Canyon > Wizard Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105964940/wide-jadodat
105761964,Minas Tireth,5.10a YDS,Sport,1,60.0,1.7,198.0,,"Richard Rossiter, 2005","All Locations > Colorado > Boulder > Boulder Canyon > Watermark > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761964/minas-tireth
105794887,Early Bird Special,5.11- YDS,Sport,1,50.0,2.1,11.0,13.0,Bob D'Antonio and Greg Hand,"All Locations > Colorado > Boulder > Boulder Canyon > Retirement Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105794887/early-bird-special
105759885,Diet of Worms,5.10a YDS,Trad,1,30.0,1.6,7.0,8.0,"J. Erickson, A. Higbee, D. Breashears, 1975","All Locations > Colorado > Boulder > Boulder Canyon > High Energy Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105759885/diet-of-worms
105748223,The Minstrel,5.11a YDS,Sport,1,60.0,1.6,43.0,99.0,"Dan Hare, 1995","All Locations > Colorado > Boulder > Boulder Canyon > Bihedral Area > Riviera > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748223/the-minstrel
106121979,Strange Times,5.10c YDS,Trad,1,60.0,1.6,32.0,59.0,"Bob D, Greg Hand and Dan Brockway","All Locations > Colorado > Boulder > Boulder Canyon > Animal World > Middle Animal World > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106121979/strange-times
121990653,Crack 1,5.7 YDS,Trad,1,,0.0,1.0,0.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Sentinel Slab > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121990653/crack-1
106564995,Erika,5.10b YDS,Sport,1,70.0,2.1,107.0,476.0,"Ed Ash in the '80s, bolted by Ron Olsen, Bruno Haché, 2009","All Locations > Colorado > Boulder > Boulder Canyon > Across from The Bihed… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106564995/erika
105748636,Last Call,5.9+ YDS,Trad,1,,2.8,97.0,237.0,"Kurt Gray and Larry Shubarth, 1979","All Locations > Colorado > Boulder > Boulder Canyon > Happy Hour Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748636/last-call
122116162,Guide's Route,5.4 YDS,Trad,1,50.0,1.9,18.0,129.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Elephant Buttre… > First Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122116162/guides-route
126942922,Rainbow Runner,5.11 YDS,Sport,1,50.0,2.0,6.0,15.0,"Lyle Dean, Dan Hare, Sept. 2024","All Locations > Colorado > Boulder > Boulder Canyon > Mtn Rose > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126942922/rainbow-runner
105748099,Jam It,5.8- YDS,Trad,1,,1.8,128.0,,"possibly Richard Rossiter, solo, 1987.","All Locations > Colorado > Boulder > Boulder Canyon > Boulderado > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748099/jam-it
105756637,Old Route,5.8+ YDS,Trad,1,,2.0,9.0,21.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Blob Rock Area > E Blob > Blob Slab > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105756637/old-route
105751549,Deersquatch,5.11c YDS,Trad,1,,2.0,1.0,0.0,Chris Way and Cory French,"All Locations > Colorado > Boulder > Boulder Canyon > Castle Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105751549/deersquatch
105748870,Blackout,5.12b YDS,Sport,1,,2.3,12.0,35.0,"Rick Leitner, 1999","All Locations > Colorado > Boulder > Boulder Canyon > Sport Park > Recovery Room > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748870/blackout
106206771,Bloodstone,5.11 YDS,Trad,1,60.0,2.0,2.0,1.0,Hare & Keiner 1979,"All Locations > Colorado > Boulder > Boulder Canyon > Bowling Alley > Main Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106206771/bloodstone
119932494,BS One,5.6 YDS,Trad,1,125.0,1.0,1.0,3.0,"Jason Haas, solo","All Locations > Colorado > Boulder > Boulder Canyon > Boulder Slips > 
                    Sort Routes
            ",https://www.mountainproject.com/route/119932494/bs-one
105758128,Crack Where the Sun Don't Shine (retrobolted as Rain Check),5.9- YDS,Sport,1,160.0,2.0,35.0,,"Leo Paik, Eric Chrisman","All Locations > Colorado > Boulder > Boulder Canyon > Across from The Bihed… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758128/crack-where-the-sun-dont-shine-retrobolted-as-rain-check
105759945,"Rhodian, Naturally",5.9- YDS,Trad,1,110.0,1.6,7.0,17.0,March 1998,"All Locations > Colorado > Boulder > Boulder Canyon > Bihedral Area > Bihedral (Upper Tier) > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105759945/rhodian-naturally
105750661,Hound Dog,5.11a YDS,Sport,1,,3.3,177.0,,Chip Ruckgraber & Dave Fixx,"All Locations > Colorado > Boulder > Boulder Canyon > Bell Buttress M… > Bell Buttress - Main… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750661/hound-dog
110957462,Superdeath,5.10a YDS,Trad,1,55.0,1.0,1.0,1.0,"K. Lugbill, B. Feiges","All Locations > Colorado > Boulder > Boulder Canyon > Superdeath > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110957462/superdeath
106564948,Lightning Strike,5.11a/b YDS,Sport,1,50.0,2.4,162.0,,"Ed Ash in the '80s, bolted by Ron Olsen, Bob D'Antonio, Greg Hand, 2009","All Locations > Colorado > Boulder > Boulder Canyon > Across from The Bihed… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106564948/lightning-strike
105764007,Heart of the Narrows,5.12b YDS,Sport,4,350.0,2.3,49.0,93.0,"Bob Horan, Richard Rossiter and Chule Lee, 1996","All Locations > Colorado > Boulder > Boulder Canyon > Vampire Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105764007/heart-of-the-narrows
123877449,Toil and Blood,V8 YDS,Boulder,1,12.0,3.0,2.0,4.0,Mark Avery,"All Locations > Colorado > Boulder > Boulder Canyon > Retirement Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/123877449/toil-and-blood
125628427,Direct,5.11 YDS,TR,1,90.0,1.0,2.0,2.0,"Rob Candelaria (TR), 1974","All Locations > Colorado > Boulder > Boulder Canyon > Brick Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/125628427/direct
106217271,Canyon Block Project,5.13+ YDS,Trad,1,40.0,0.0,0.0,0.0,Waiting for one,"All Locations > Colorado > Boulder > Boulder Canyon > Canyon Block > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106217271/canyon-block-project
106189872,The Whimper of Our Discontent,5.7 YDS,Trad,1,55.0,1.8,4.0,3.0,"TooTall Tim Davis & Tony Bubb, 6/08","All Locations > Colorado > Boulder > Boulder Canyon > E Of Eden > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106189872/the-whimper-of-our-discontent
107104135,Mind Shaft Crack Right,5.7 YDS,Trad,1,20.0,0.8,14.0,18.0,unknown,"All Locations > Colorado > Boulder > Boulder Canyon > Mind Shaft Cliff > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107104135/mind-shaft-crack-right
108715896,Just Putin Around,5.9 YDS,Trad,4,500.0,2.5,2.0,2.0,"for good chunks of this - George Bracksieck, LP","All Locations > Colorado > Boulder > Boulder Canyon > Bihedral Area > Bihedral (Upper Tier) > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108715896/just-putin-around
106526951,Trainspotting,V12 YDS,Boulder,1,15.0,3.0,5.0,4.0,?????,"All Locations > Colorado > Boulder > Boulder Canyon > Castle Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106526951/trainspotting
106479040,Pop Rock Traverse,V5-6 YDS,Boulder,1,35.0,2.4,5.0,9.0,Bob Horan 6/2009,"All Locations > Colorado > Boulder > Boulder Canyon > Pop Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106479040/pop-rock-traverse
105795241,Hip Replacement,5.10+ YDS,Sport,1,50.0,1.3,42.0,65.0,"Bob D'Antonio, Greg Hand and Kent Lugbill","All Locations > Colorado > Boulder > Boulder Canyon > Nursing Home > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105795241/hip-replacement
108138717,Central Insecurity,5.12d YDS,Sport,1,90.0,3.5,4.0,2.0,"Mark Rolofson, Bob D'Antonio","All Locations > Colorado > Boulder > Boulder Canyon > Security Risk M… > Lower Security Risk > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108138717/central-insecurity
108100150,Sugaree,5.4 YDS,Trad,1,100.0,1.0,2.0,1.0,"Team Asshole: Josh Lyons, Clint Casey","All Locations > Colorado > Boulder > Boulder Canyon > Sugar Crack Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108100150/sugaree
