Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
121611420,Double Fist Offwidth,5.8+ YDS,Trad,1,70.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Tiara Rado > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121611420/double-fist-offwidth
105816882,F/S,5.10c YDS,Trad,1,100.0,3.0,26.0,42.0,Tom Blake,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Liberty Cap > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105816882/fs
108080603,The Gypsies | 0603,5.10+ YDS,Trad,2,220.0,2.5,2.0,5.0,"James Stover, Doug Mckee","All Locations > Colorado > Grand Junction… > Colorado Nation… > Gypsies > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108080603/the-gypsies-0603
106921003,Geezer Highway,5.9+ YDS,Trad,6,400.0,1.3,6.0,7.0,"Mike Dudley and Dennis Willis, late 1980s","All Locations > Colorado > Grand Junction… > Colorado Nation… > Independence Monument > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106921003/geezer-highway
106909188,Ride the Lightning,5.11 YDS,Trad,3,300.0,3.0,3.0,5.0,Unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Gold Star Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106909188/ride-the-lightning
110003593,Unknown-aka the Hershey Kiss,5.8 YDS,Trad,1,60.0,1.0,2.0,0.0,Max Schultz?,"All Locations > Colorado > Grand Junction… > Colorado Nation… > No Thoroughfare Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110003593/unknown-aka-the-hershey-kiss
107251318,Super Crack of the Monument,5.10 YDS,Trad,1,100.0,3.8,20.0,29.0,K. C. Baum,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Red Canyon > Supercrack Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107251318/super-crack-of-the-monument
105755380,It Ain't Over Til It's Loose,5.10 YDS,Trad,1,,1.0,1.0,0.0,"Don Fry & me, 1996?","All Locations > Colorado > Grand Junction… > Colorado Nation… > Monument Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755380/it-aint-over-til-its-loose
106024323,Buzz Kill,5.11c YDS,Trad,1,115.0,3.0,1.0,0.0,Stinky Pug,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Ute Canyon > Fallen Rock Climbs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106024323/buzz-kill
112777944,Colorado Choss,5.5 YDS,Trad,1,35.0,0.0,1.0,0.0,"Niqolas Ruud, Mason Parks","All Locations > Colorado > Grand Junction… > Colorado Nation… > Other areas > 
                    Sort Routes
            ",https://www.mountainproject.com/route/112777944/colorado-choss
125306299,Matthew 14:31,V1- YDS,Boulder,1,6.0,2.0,1.0,0.0,Jared Nelson,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Corkscrew Boulders > New View Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/125306299/matthew-1431
121611408,"Unknown, OW/Squeeze",5.12 YDS,Trad,1,30.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Tiara Rado > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121611408/unknown-owsqueeze
0,Sign Up or Log In,,,1,,,,,,,https://www.mountainproject.com/edit/route/0?parentId=125320292
0,Sign Up or Log In,,,1,,,,,,,https://www.mountainproject.com/edit/route/0?parentId=125319818
200304125,22nd Day,5.9+ YDS,Trad,1,85.0,3.0,1.0,,"KC Baum, Bob Hustava, Mel Thorson, Feb. 1992","All Locations > Colorado > Grand Junction… > Colorado Nation… > No Thoroughfare Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200304125/22nd-day
107124690,Skin Industries,5.11 YDS,Trad,3,300.0,3.0,3.0,,"James Stover, Jesse Bernier, & Ryan Dutch","All Locations > Colorado > Grand Junction… > Colorado Nation… > Gold Star Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107124690/skin-industries
109096652,Franklin's Tower - Dark Star,5.10 YDS,Trad,3,250.0,3.0,3.0,,"James Stover, Paul Stoner, Tyson Younger","All Locations > Colorado > Grand Junction… > Colorado Nation… > Gypsies > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109096652/franklins-tower-dark-star
106158919,Dirty Martini,5.10a/b YDS,Trad,1,60.0,2.5,46.0,95.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Tiara Rado > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106158919/dirty-martini
108800744,The Warm Up,5.9+ YDS,Trad,1,100.0,3.0,2.0,2.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Terra Tower But… > Terra Tower Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108800744/the-warm-up
109979428,Acrylic Tower,5.7 YDS,Trad,1,60.0,1.5,2.0,2.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > No Thoroughfare Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109979428/acrylic-tower
108800927,Chocolate Variety Show,5.11 YDS,Trad,1,100.0,4.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Terra Tower But… > Terra Tower Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108800927/chocolate-variety-show
105910161,St. Patrick's Day Massacre,5.10d YDS,Trad,1,80.0,2.6,7.0,16.0,"KC Baum, Tom Archibeque, 17 March 1990 (St. Patrick's Day)","All Locations > Colorado > Grand Junction… > Colorado Nation… > Liberty Cap > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105910161/st-patricks-day-massacre
106024146,Slice and Jive,5.11b/c YDS,Trad,1,180.0,3.0,1.0,0.0,Stinky Pug,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Ute Canyon > Astro Bunny Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106024146/slice-and-jive
105963283,Wizard I,5.10c/d YDS,Trad,1,120.0,3.4,5.0,17.0,"KC Baum, Tom Archibeque","All Locations > Colorado > Grand Junction… > Colorado Nation… > Monument Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105963283/wizard-i
125311511,John 1:51,V0 YDS,Boulder,1,8.0,2.0,1.0,0.0,Jared Nelson,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Corkscrew Boulders > Monolith Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/125311511/john-151
106484261,The Crest,V3+ YDS,Boulder,1,10.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Metamorphic Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106484261/the-crest
106171838,Terra Tower - Way Bazaar,5.11 YDS,Trad,2,350.0,2.8,4.0,8.0,"Harvey T. Carter / Tom Merrill, 1979","All Locations > Colorado > Grand Junction… > Colorado Nation… > Terra Tower But… > Terra Tower > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106171838/terra-tower-way-bazaar
118221680,Crispy Corner,V-easy YDS,Boulder,1,15.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Monument Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/118221680/crispy-corner
105842493,Beauty And the Beast,5.10c/d YDS,Trad,1,100.0,3.0,2.0,2.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Liberty Cap > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105842493/beauty-and-the-beast
105905589,The Book of Pleasure,5.10 YDS,Trad,4,400.0,2.0,2.0,2.0,"Mike Baker, Lesli Henderson, March 1994 - 5.9 C1+","All Locations > Colorado > Grand Junction… > Colorado Nation… > Fruita Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105905589/the-book-of-pleasure
107257060,Wiggle Worm,5.11 YDS,Trad,1,120.0,4.0,2.0,2.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Red Canyon > Supercrack Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107257060/wiggle-worm
105923325,Safeway Spire - Five Finger Discount,5.10+ YDS,Trad,5,400.0,2.5,6.0,12.0,"Jon Butler and Cameron Burns with Luke Laeser on the first pitch (April 8, 1995)","All Locations > Colorado > Grand Junction… > Colorado Nation… > Ute Canyon > Walmart Tower & Safew… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105923325/safeway-spire-five-finger-discount
106093183,Route  2,5.9+ YDS,Trad,1,70.0,2.8,12.0,17.0,Michael Dudley,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Monument Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106093183/route-2
106484248,The Fin,V3 YDS,Boulder,1,10.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Colorado Nation… > Metamorphic Canyon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106484248/the-fin
107039948,Baby Gypsy-North Face,5.9+ YDS,Trad,1,70.0,2.0,1.0,0.0,"Jon Butler, 1993","All Locations > Colorado > Grand Junction… > Colorado Nation… > Gypsies > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107039948/baby-gypsy-north-face
