Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
107538265,The 8th,V10 YDS,Boulder,1,15.0,3.5,6.0,6.0,Chris Schulte,"All Locations > Colorado > Boulder > Eldorado Canyon SP > Eldorado Canyon… > Water Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107538265/the-8th
109091305,Without A Net,5.11+ YDS,Trad,1,140.0,3.0,9.0,7.0,"Eric Johnson, Todd Felix","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Tower One > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109091305/without-a-net
105761682,Bit by Bit,5.11c/d YDS,Trad,2,160.0,2.9,14.0,22.0,"Dougald MacDonald, Mark Hammond","All Locations > Colorado > Boulder > Eldorado Canyon SP > W Ridge > W Ridge - part D - Xa… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761682/bit-by-bit
124173971,Da Kind Escape,5.8 YDS,Trad,1,60.0,1.0,1.0,1.0,"S. Levin, D. Holliday, 2008","All Locations > Colorado > Boulder > Eldorado Canyon SP > Veil > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124173971/da-kind-escape
107941997,Rough Roof,5.12b YDS,Trad,1,100.0,2.0,2.0,1.0,"John Arran, Lidija Painkiher, Jennifer Martin, 1987","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Below Low… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107941997/rough-roof
105764625,Chromium Shore,5.9+ YDS,Trad,1,80.0,2.0,1.0,2.0,"Mike Brooks and Chris Snyder, 1980","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - S Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105764625/chromium-shore
126000347,"Young, Good Free Face",5.11c YDS,Trad,1,80.0,2.5,2.0,3.0,"H. Barber, P. Ament","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Tower Two > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126000347/young-good-free-face
105762486,Scimitar,5.10b YDS,Trad,1,90.0,1.0,1.0,3.0,unknown to me,"All Locations > Colorado > Boulder > Eldorado Canyon SP > Petit Bastille > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105762486/scimitar
106124385,Byway,5.9+ YDS,Trad,1,60.0,1.0,1.0,0.0,"Kent McClannan, Mike Alkaitis 2007","All Locations > Colorado > Boulder > Eldorado Canyon SP > W Ridge > W Ridge - part C - Po… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106124385/byway
124063752,Honey Maroon Overhang aka Honey Milker,V8-9 YDS,Boulder,1,15.0,4.0,1.0,0.0,"Bob Horan, 1987","All Locations > Colorado > Boulder > Eldorado Canyon SP > Eldorado Canyon… > Honey Maroon Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124063752/honey-maroon-overhang-aka-honey-milker
105765018,Phee-nix,5.12a YDS,Trad,1,30.0,1.3,3.0,2.0,FTR: Charlie Fowler FHP: Mike Brooks,"All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Below Low… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105765018/phee-nix
106653506,Shibumi,5.12b YDS,Trad,2,200.0,3.7,3.0,1.0,"Bret Ruckman, Bill Gibson, and Marco Cornacchione, '88-'89","All Locations > Colorado > Boulder > Eldorado Canyon SP > Diamond Head > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106653506/shibumi
107253335,Clyncke Punched a Hippy,5.11a YDS,Trad,1,90.0,2.0,1.0,0.0,"Mike Schlauch, Chip Ruckgaber, Aug. 2011","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Below Low… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107253335/clyncke-punched-a-hippy
116752982,Twist and Crawl (aka Slice of Time),5.14 YDS,Sport,1,130.0,3.3,4.0,3.0,"prep: Chris Hill, 1980s. FFA: Mike Anderson, Mark Anderson","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Lumpe to… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/116752982/twist-and-crawl-aka-slice-of-time
107752136,Anthurium,5.13a YDS,Sport,1,,0.0,0.0,1.0,"Leslie Coon, 2005","All Locations > Colorado > Boulder > Eldorado Canyon SP > Hawk-Eagle Ridge > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107752136/anthurium
107131756,Hypothermia,5.9 YDS,Trad,1,95.0,2.3,3.0,5.0,"Tim Beaman, Scott Woodruff, Dan Hare, 1975","All Locations > Colorado > Boulder > Eldorado Canyon SP > W Ridge > W Ridge - part F - Th… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107131756/hypothermia
110290049,Lug's Crack,5.10 YDS,Trad,1,90.0,1.0,1.0,1.0,"M. Brooks, A. Azoff, 1987","All Locations > Colorado > Boulder > Eldorado Canyon SP > Kloof Alcove > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110290049/lugs-crack
111493404,Heatwave,5.10 YDS,Trad,1,70.0,2.0,1.0,1.0,"Tony Bubb, Joseffa Meir,1/3/16","All Locations > Colorado > Boulder > Eldorado Canyon SP > W Ridge > W Ridge - part C - Po… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111493404/heatwave
105764973,Northumberland Crack,5.9+ YDS,Trad,3,350.0,2.0,17.0,21.0,"Bob Culp and George Hurley, 1965.","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Lumpe to… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105764973/northumberland-crack
123891329,Prime Face,V6 YDS,Boulder,1,18.0,4.0,1.0,0.0,"Bob Horan, 1985","All Locations > Colorado > Boulder > Eldorado Canyon SP > Eldorado Canyon… > Shadow Cube > 
                    Sort Routes
            ",https://www.mountainproject.com/route/123891329/prime-face
122574897,Lakme,5.13c/d YDS,Trad,1,170.0,4.0,2.0,0.0,"Christian Griffith, 1987","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - S Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122574897/lakme
105751324,Bolting for Glory,5.10a YDS,Trad,1,100.0,2.6,114.0,210.0,"Andrea Azoff and Richard Rossiter, 1988","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Tower Two > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105751324/bolting-for-glory
105753610,Psychosis,5.11a YDS,Trad,3,210.0,3.5,125.0,259.0,"Steve Wunsch, Jim Erickson, Larry Marquardt, Bob Hritz, 1973","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Tower One > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105753610/psychosis
105760230,Tubesock Tanline,5.11d YDS,Trad,1,70.0,2.0,1.0,0.0,"John Sherman, Alec Sharp","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - Roof Routes > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105760230/tubesock-tanline
105752404,Prime Time Climb,5.10b/c YDS,Trad,1,,1.3,3.0,3.0,"Harrison & Stuberg, 1981","All Locations > Colorado > Boulder > Eldorado Canyon SP > Hawk-Eagle Ridge > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105752404/prime-time-climb
105755485,Uncle Chip,5.7 YDS,Trad,1,,1.0,1.0,0.0,"Brad Bond, solo","All Locations > Colorado > Boulder > Eldorado Canyon SP > Diamond Head > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755485/uncle-chip
106244428,Semi-Wild Slab,5.9 YDS,Trad,2,200.0,3.0,1.0,1.0,unknown,"All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - S Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106244428/semi-wild-slab
105847846,PA's Variation,5.8 YDS,Trad,1,120.0,2.0,8.0,14.0,"Pat Ament & pals, 1964","All Locations > Colorado > Boulder > Eldorado Canyon SP > Redgarden Wall > Redgarden - S Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105847846/pas-variation
105753256,Bloke On The Side,5.9+ YDS,Trad,2,,0.8,4.0,5.0,"Harrison, Stuberg, Brooks, 1981","All Locations > Colorado > Boulder > Eldorado Canyon SP > W Ridge > W Ridge - part C - Po… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105753256/bloke-on-the-side
