Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105748765,Green Dihedral,5.7+ YDS,Trad,2,,3.2,80.0,120.0,unknown,"All Locations > Colorado > Boulder > Eldorado Mountain > Mickey Mouse Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748765/green-dihedral
105758521,Asahi,5.10c YDS,Trad,2,170.0,3.2,31.0,33.0,R. & J. Rossiter,"All Locations > Colorado > Boulder > Eldorado Mountain > Mickey Mouse Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758521/asahi
107979034,Zen Effects,5.12b YDS,Sport,1,80.0,2.5,6.0,4.0,"Rossiter/ Watson, 1987","All Locations > Colorado > Boulder > Eldorado Mountain > Mickey Mouse Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107979034/zen-effects
107919029,Dodge City,5.12a YDS,Sport,1,50.0,3.2,9.0,9.0,"Ken Trout & Rick Leitner, Spring 1994","All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 4 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107919029/dodge-city
106374317,Life During Wartime,5.13a YDS,Sport,1,60.0,2.6,5.0,2.0,"Moe Hershoff & Keith Lenard, 1991","All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 4 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106374317/life-during-wartime
105761088,Parallel Journey,5.9+ YDS,Trad,2,300.0,2.8,34.0,43.0,Rossiter and Sciolino,"All Locations > Colorado > Boulder > Eldorado Mountain > Mickey Mouse Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761088/parallel-journey
107923714,Vogue,5.14b YDS,Sport,1,90.0,4.0,3.0,1.0,"Tommy Caldwell, 1999","All Locations > Colorado > Boulder > Eldorado Mountain > Industrial Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107923714/vogue
110219787,Power Lounger,5.11b YDS,Trad,1,65.0,2.0,1.0,1.0,"Allison Sheets & Tim Hudgel, 1987","All Locations > Colorado > Boulder > Eldorado Mountain > Buoux Montana > Main Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110219787/power-lounger
105757519,Stormbringer,5.10d YDS,Sport,1,50.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Boulder > Eldorado Mountain > E Ridge > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757519/stormbringer
105755977,Piece Process,5.11b YDS,Trad,1,,1.0,1.0,0.0,"Zac Barr, Peter Mortimer","All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 4 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755977/piece-process
110336962,Coffee & Cake,5.9- YDS,Trad,1,,1.0,1.0,0.0,Angus Wiessner,"All Locations > Colorado > Boulder > Eldorado Mountain > Buoux Montana > Congo > Tribal Boundaries, Th… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110336962/coffee-cake
105883727,In Plain View,5.10d YDS,Sport,1,60.0,2.0,4.0,6.0,"Ken Trout, Marsha Trout, Rick Leitner,1994","All Locations > Colorado > Boulder > Eldorado Mountain > Secret Crag (aka Ridg… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105883727/in-plain-view
106582578,Little King,5.10a YDS,Sport,1,80.0,2.0,2.0,2.0,unknown,"All Locations > Colorado > Boulder > Eldorado Mountain > E Ridge > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106582578/little-king
120018665,LIPSTICK,5.12b YDS,Sport,1,40.0,2.0,1.0,0.0,"Alan Nelson, ~1990","All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 2 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120018665/lipstick
105761838,Shootin' Off At The Mouse,5.10d YDS,Sport,1,80.0,2.3,8.0,13.0,Adams & T-zilla,"All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 1 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761838/shootin-off-at-the-mouse
110219803,Howdy!,5.10 YDS,Trad,1,40.0,0.0,0.0,1.0,"John Gill & Allison Sheets, 1987","All Locations > Colorado > Boulder > Eldorado Mountain > Buoux Montana > Main Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110219803/howdy
106280393,Terminal Velocity,5.14a YDS,Sport,1,80.0,3.3,4.0,1.0,unknown,"All Locations > Colorado > Boulder > Eldorado Mountain > Industrial Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106280393/terminal-velocity
110219809,Jugs,5.10c/d YDS,Sport,1,50.0,3.3,6.0,15.0,???,"All Locations > Colorado > Boulder > Eldorado Mountain > Buoux Montana > Main Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110219809/jugs
105750598,Pinch A Loaf,5.10 YDS,Sport,1,,1.0,6.0,2.0,"Dave Field and Ernie Moskovics, 1986","All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 4 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750598/pinch-a-loaf
106131724,Riding With the King,5.9- YDS,Sport,2,130.0,3.0,4.0,7.0,"Richard Rossiter, Serena Benson 2000","All Locations > Colorado > Boulder > Eldorado Mountain > Secret Crag (aka Ridg… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106131724/riding-with-the-king
110219796,Tin Star,5.9 YDS,Sport,1,40.0,1.0,2.0,1.0,"John Gill & Allison Sheets, 1987","All Locations > Colorado > Boulder > Eldorado Mountain > Buoux Montana > Main Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110219796/tin-star
125804799,Fist Full of Steel,5.11a YDS,Sport,1,50.0,2.7,3.0,4.0,"Tod Anderson, Nate Adams, 2004","All Locations > Colorado > Boulder > Eldorado Mountain > Ridge 1 > 
                    Sort Routes
            ",https://www.mountainproject.com/route/125804799/fist-full-of-steel
110219815,Gold Shuts,5.10+ YDS,Sport,1,70.0,2.8,4.0,4.0,???,"All Locations > Colorado > Boulder > Eldorado Mountain > Buoux Montana > Main Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110219815/gold-shuts
