Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
118242369,Infernal Validation,5.9+ YDS,Trad,2,150.0,3.0,1,2.0,"P1: Fritz Nuffer, Mike Robinson, P2: Mike Robinson, Fritz Nuffer","All Locations > Colorado > Grand Junction… > Escalante Canyon > Pot Holes Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/118242369/infernal-validation
120646564,Unknown Crack,5.8 YDS,Trad,1,50.0,3.0,1,3.0,unknown,"All Locations > Colorado > Grand Junction… > Escalante Canyon > After Rain Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120646564/unknown-crack
107063906,Zombie Woof (submitted as Big Hands Roof),5.10+ YDS,Trad,1,100.0,3.7,68,152.0,"Dave Henritze, Jim Olsen, Jim N, and others, 1980s","All Locations > Colorado > Grand Junction… > Escalante Canyon > Zappa Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107063906/zombie-woof-submitted-as-big-hands-roof
107063894,The Curve,5.11a YDS,Trad,1,70.0,3.6,106,202.0,"Jim Nigro & Janet Robinson, circa 1990","All Locations > Colorado > Grand Junction… > Escalante Canyon > Zappa Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107063894/the-curve
120006697,Mark of the Beast (666),5.12 YDS,Trad,1,100.0,4.0,1,0.0,"Jeff Popko, Chris Righter on the assist","All Locations > Colorado > Grand Junction… > Escalante Canyon > Across the River Area… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120006697/mark-of-the-beast-666
106253196,The Shaft,5.10a YDS,Trad,1,80.0,3.0,139,370.0,Chuck Grossman,"All Locations > Colorado > Grand Junction… > Escalante Canyon > Interiors Wall Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106253196/the-shaft
107551407,Unknown III,5.10 YDS,Trad,1,60.0,2.4,38,104.0,unknown,"All Locations > Colorado > Grand Junction… > Escalante Canyon > Interiors Wall Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107551407/unknown-iii
124071966,Unknown 5.9,5.9 YDS,Trad,1,40.0,1.8,8,21.0,unknown,"All Locations > Colorado > Grand Junction… > Escalante Canyon > Zappa Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124071966/unknown-59
120701112,Crypto Sucka,5.12b YDS,Sport,1,50.0,3.0,1,1.0,Scott Clark,"All Locations > Colorado > Grand Junction… > Escalante Canyon > After Rain Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120701112/crypto-sucka
107078021,"Short, Some Hands",5.9+ YDS,Trad,1,50.0,2.3,67,208.0,n/a,"All Locations > Colorado > Grand Junction… > Escalante Canyon > Zappa Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107078021/short-some-hands
