Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105757150,Bleep Traverse,V4 YDS,Boulder,1,,2.0,13.0,23.0,???,"All Locations > Colorado > Boulder > Flatirons > North > Satellite Boulders > Sputnik Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757150/bleep-traverse
105757810,North Star,V0 YDS,Boulder,1,,1.5,2.0,2.0,Chip Phillips,"All Locations > Colorado > Boulder > Flatirons > North > Satellite Boulders > Misc E Boulders > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757810/north-star
105751297,South Face,5.6 YDS,Trad,1,,1.6,8.0,9.0,"Dale Johnson and Phil Robertson, 1952","All Locations > Colorado > Boulder > Flatirons > South > Matron > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105751297/south-face
105756124,First in Flight,5.11a YDS,Trad,1,,2.5,4.0,3.0,Dougald MacDonald,"All Locations > Colorado > Boulder > Flatirons > North > First Flatiron > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105756124/first-in-flight
110165967,SW Corner,V1 YDS,Boulder,1,,2.0,4.0,8.0,unknown,"All Locations > Colorado > Boulder > Flatirons > South > X Crack Boulder (The… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110165967/sw-corner
109226974,North Crack,5.10c YDS,Trad,1,95.0,0.0,0.0,0.0,Unkown,"All Locations > Colorado > Boulder > Flatirons > South > Matron > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109226974/north-crack
105750973,Ray Honed,5.10c YDS,Sport,1,,1.6,5.0,6.0,"Ray Snead, 1994","All Locations > Colorado > Boulder > Flatirons > Sacred Cliffs > Pebble Beach > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750973/ray-honed
105756130,North Ridge/Gregory Flatironette,5.4 YDS,Trad,1,,1.0,8.0,6.0,unknown,"All Locations > Colorado > Boulder > Flatirons > North > Gregory Canyon… > Gregory Flatironette… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105756130/north-ridgegregory-flatironette
109556388,East Face (Tunnel Tower),5.5 YDS,Trad,4,600.0,2.0,1.0,3.0,"Tony B., Stuart P., tandem solo, 9/4/14","All Locations > Colorado > Boulder > Flatirons > Central > S Summit of Green Mou… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109556388/east-face-tunnel-tower
106332935,Grande Parade,5.11d YDS,Trad,1,75.0,4.0,1.0,0.0,"FA: Bob Horan and Randy Leavitt, 1981.","All Locations > Colorado > Boulder > Flatirons > North > Skunk Canyon > Ridge 4 aka Mohling A… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106332935/grande-parade
105758161,Ph.D. Roof,5.10a YDS,Trad,4,650.0,1.8,6.0,8.0,"R. & J. Rossiter, 1990","All Locations > Colorado > Boulder > Flatirons > North > Third Flatiron > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758161/phd-roof
105842625,The Red Gully,5.10- YDS,Trad,1,70.0,0.0,2.0,3.0,"Ament and Dalke, early 60's?","All Locations > Colorado > Boulder > Flatirons > North > Gregory Canyon… > Amphitheater > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105842625/the-red-gully
112292939,Wide I Do It?,5.10a YDS,Trad,1,40.0,0.7,3.0,3.0,"J. Haas, solo, 2006","All Locations > Colorado > Boulder > Flatirons > Sacred Cliffs > Pebble Beach > 
                    Sort Routes
            ",https://www.mountainproject.com/route/112292939/wide-i-do-it
111304235,East Face - Northern Shanahan Slab,5.1 YDS,Trad,3,500.0,2.5,24.0,72.0,unknown,"All Locations > Colorado > Boulder > Flatirons > South > Shanahan Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111304235/east-face-northern-shanahan-slab
105750292,Parasol,V5+ YDS,Boulder,1,,2.6,17.0,26.0,unknown,"All Locations > Colorado > Boulder > Flatirons > South > Terrain Boulders (aka… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750292/parasol
