Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105751678,Cowboy Boot Crack,5.6 YDS,Trad,1,80.0,2.4,163.0,583.0,Herbie Hendricks and Earl Wiggens,"All Locations > Colorado > Colorado Springs > Garden of the Gods > N Gateway Rock > W Face > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105751678/cowboy-boot-crack
117650157,One Day They'll Know,V3 YDS,Boulder,1,10.0,2.6,11.0,47.0,unknown,"All Locations > Colorado > Colorado Springs > Garden of the Gods > Bouldering > Snake Pit Area > Arch Boulder (aka Gro… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/117650157/one-day-theyll-know
121685660,East-Ledge Traverse,5.4 YDS,Trad,5,500.0,3.5,2.0,5.0,unknown,"All Locations > Colorado > Colorado Springs > Garden of the Gods > N Gateway Rock > Southwest Face / Fing… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121685660/east-ledge-traverse
106562826,Insignificant But There,5.10a YDS,Trad,1,80.0,2.0,2.0,5.0,"Mike Johnson & Bob D'Antonio, winter '83","All Locations > Colorado > Colorado Springs > Garden of the Gods > S Gateway Rock > W Side > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106562826/insignificant-but-there
105751681,Lower Finger Traverse,5.8 YDS,Sport,1,,1.9,32.0,54.0,"Radigen, Howells, Auld, and Hendricks","All Locations > Colorado > Colorado Springs > Garden of the Gods > N Gateway Rock > Southwest Face / Fing… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105751681/lower-finger-traverse
114275473,Run N Jump (South Face),V0-1 YDS,Boulder,1,8.0,2.4,17.0,100.0,unknown,"All Locations > Colorado > Colorado Springs > Garden of the Gods > Bouldering > Snake Pit Area > Arch Boulder (aka Gro… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/114275473/run-n-jump-south-face
106294278,Borderline Direct,5.10b YDS,Trad,1,80.0,2.3,3.0,1.0,"FA: Harvey Carter, '80 (?)   FFA: Earl Wiggins, '77 or '78?, Bob D'Antonio, '82?","All Locations > Colorado > Colorado Springs > Garden of the Gods > Keyhole Rock > N End Pinnacle > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106294278/borderline-direct
107362083,Pick of the Week,V6 YDS,Boulder,1,10.0,0.0,0.0,0.0,unknown,"All Locations > Colorado > Colorado Springs > Garden of the Gods > Bouldering > Miscellaneous Bouldering > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107362083/pick-of-the-week
106889594,Low Traverse into Slapper,V8 YDS,Boulder,1,20.0,3.5,10.0,12.0,unknown,"All Locations > Colorado > Colorado Springs > Garden of the Gods > Bouldering > Snake Pit Area > Mongoose Block > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106889594/low-traverse-into-slapper
107362144,Winter Warmer Traverse,V0- YDS,Boulder,1,,0.0,0.0,3.0,unknown,"All Locations > Colorado > Colorado Springs > Garden of the Gods > Bouldering > Miscellaneous Bouldering > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107362144/winter-warmer-traverse
