Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105749140,Organ Pipes,5.6 YDS,Trad,2,250.0,2.6,90.0,221.0,"John Chapman & Steve Hickman, 1963 (from Rossiter)?","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Twin Owls > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105749140/organ-pipes
105761652,Autumn Mist,5.13a YDS,Aid,3,,2.8,5.0,6.0,"Bill Todd, 1980","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Twin Owls > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761652/autumn-mist
105760410,Under the Big Top,5.9 YDS,,4,250.0,1.5,2.0,0.0,"Kimball & Harrison, 1980","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Sundance Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105760410/under-the-big-top
106118421,Hanging Tree,5.10d YDS,Trad,1,100.0,2.5,2.0,2.0,"Tim Hansen, Scott Kimball, 1981","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Out W Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106118421/hanging-tree
107174845,Looks Can Be Deceiving,5.8+ YDS,Trad,2,300.0,2.0,1.0,0.0,maybe ?,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Observatory Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107174845/looks-can-be-deceiving
105752641,New Music,5.11+ YDS,Trad,5,,3.0,6.0,9.0,Jeff Lowe/Malcolm Daly,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Book > Pages Wall Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105752641/new-music
105823835,"Fun, Not Fin",5.7 YDS,Trad,1,40.0,1.0,1.0,0.0,?Doug Snively or Earl Wiggins?,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Not Fin But Fun > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105823835/fun-not-fin
105751876,Magical Chrome Plated Semi-Automatic Enema Syringe,5.7 YDS,Trad,5,,2.6,243.0,764.0,"Bob Bradley and Paul Mayrose, 1969","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Pear > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105751876/magical-chrome-plated-semi-automatic-enema-syringe
105763839,Decisions,5.11+ YDS,Trad,1,90.0,2.6,7.0,5.0,no,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Book > Renaissance Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105763839/decisions
105879819,Hurley Traverse,5.7 YDS,Trad,1,,2.0,25.0,49.0,George Hurley,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Book > J-Crack Slab Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105879819/hurley-traverse
105750004,Thindependence,5.10c YDS,Trad,1,,3.1,63.0,118.0,"Randy Joseph and Tim Hanson (I believe), early 1980s","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Book > J-Crack Slab Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750004/thindependence
105760719,Dead Boy,5.10b YDS,Trad,1,60.0,2.5,17.0,23.0,"Wylie, Hanson, Kimball-'82","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Book > Isis Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105760719/dead-boy
106269139,Last Daze Of Pompeii,5.11+ YDS,Trad,1,80.0,4.0,1.0,1.0,"Jason Seaver, Nate Arganbright, Bronson MacDonald,  5/19/07","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Long Walk Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106269139/last-daze-of-pompeii
105750556,Corinthian Column,5.9 YDS,Trad,5,550.0,2.0,6.0,3.0,Chip Salaun & Carl Harrison,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Bookend > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750556/corinthian-column
105750163,Turnkorner,5.10b YDS,Trad,7,,3.7,122.0,196.0,"FA: Layton Kor and Jack Turner, 5.8 A3, 1962, FFA: Royal Robbins","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Sundance Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750163/turnkorner
105749074,Romulan Territory,5.10b YDS,Trad,3,,3.6,103.0,159.0,"Scott Kimball, Carl Harrison, late 1970s","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Bookmark > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105749074/romulan-territory
105749113,Ziggie's Brother Hank,5.10b YDS,Trad,1,,2.6,9.0,10.0,"Anderson, Smedley, Larson, c. 1990","All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Checkerboard Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105749113/ziggies-brother-hank
105879810,Thunder Buttress Route,5.7+ YDS,Trad,4,,1.3,3.0,4.0,Scott Kimball & Mike Covington,"All Locations > Colorado > Estes Park Valley > Lumpy Ridge > Thunder Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105879810/thunder-buttress-route
