Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
107304640,Aguanile,V3 YDS,Boulder,1,8.0,2.0,2.0,1.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Dave Loves Donn… > Lavoe Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107304640/aguanile
106654328,The Center Piece,V10-11 YDS,Boulder,1,12.0,2.0,1.0,0.0,"Mike Patz, circa 2003","All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Mecca Boulder Area > Mecca Area > Gunny Gold Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106654328/the-center-piece
107006271,Grit'er Done,5.9 YDS,Sport,1,40.0,2.4,39.0,123.0,"G. Mitchell, 1/8/2011","All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Roped > Grit Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107006271/griter-done
114308736,Smell of Hot Pine,V1 YDS,Boulder,1,15.0,1.3,3.0,1.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > N E Creek Bould… > Petroglyph Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/114308736/smell-of-hot-pine
111410438,Dopamine Squirt,V1 YDS,Boulder,1,11.0,2.0,1.0,1.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Gateway Vicinit… > Salt Creek Cany… > Leakage Block > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111410438/dopamine-squirt
112554211,Hydra,V1 YDS,Boulder,1,13.0,1.0,1.0,3.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Blue Moon Bould… > Local Group Area > Roundabout Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/112554211/hydra
108596324,Tornado Horizon,V2 YDS,Boulder,1,10.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Pool of Plenty… > Aqua Area > Parapet Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108596324/tornado-horizon
119846317,Silence is Violence,V2 YDS,Boulder,1,12.0,2.7,6.0,7.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Late Bloomer Bo… > Abyss Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/119846317/silence-is-violence
111758396,Zugzwang,V4 YDS,Boulder,1,18.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Bone Park Bould… > Apatosaurus Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111758396/zugzwang
113330675,Cute for Time,V3 YDS,Boulder,1,14.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Four Blocks Bou… > Rdchip Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/113330675/cute-for-time
114465298,Spirit Seen Here,V4 YDS,Boulder,1,9.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Pool of Plenty… > Rising Sun Area > Spirit Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/114465298/spirit-seen-here
108434047,Self Evident,V3 YDS,Boulder,1,9.0,1.5,2.0,3.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Mecca Boulder Area > Pink Floyd Area > Entrada Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108434047/self-evident
117967926,El Guapo,5.11+ YDS,Trad,1,80.0,2.5,20.0,36.0,??? equipped in 2017 by Mike Schneiter,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Main Canyon: Un… > Access Fund Tra… > Sunday Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/117967926/el-guapo
116958246,Duduk,V2 YDS,Boulder,1,10.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Blue Moon Bould… > Local Group Area > Moran Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/116958246/duduk
110977394,Newtonian Ethic,V3 YDS,Boulder,1,13.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Dirty Dozen Bou… > Riddler Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110977394/newtonian-ethic
110891052,Two Hole Stroll,V2 YDS,Boulder,1,10.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Pool of Plenty… > Candy Store Area > Leave No Trace Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110891052/two-hole-stroll
109257525,Cloudburst,V2 YDS,Boulder,1,9.0,1.5,2.0,2.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Mecca Boulder Area > Southie Area > Thalassic Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/109257525/cloudburst
112539653,Sheep Above,V2 YDS,Boulder,1,11.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Black Wave Boul… > Normcore Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/112539653/sheep-above
123669322,And Cursed,5.8 YDS,Trad,1,130.0,3.0,2.0,11.0,"Randall Chapman, 2022","All Locations > Colorado > Grand Junction… > Unaweep Canyon > Main Canyon: Un… > Mother's Buttress > Outback > 
                    Sort Routes
            ",https://www.mountainproject.com/route/123669322/and-cursed
108772619,Hypersex,V4 YDS,Boulder,1,15.0,3.4,10.0,24.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Pool of Plenty… > Moonshine Area > Tree of Life Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108772619/hypersex
118835959,Conceal and Carry,V1 YDS,Boulder,1,18.0,1.0,3.0,5.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Dave Loves Donn… > Gunslinger Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/118835959/conceal-and-carry
111450526,Dapper Dan,V6 YDS,Boulder,1,11.0,2.7,9.0,10.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Mecca Boulder Area > Mecca Area > Mecca Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111450526/dapper-dan
108358582,Pickle Jar,V1 YDS,Boulder,1,,2.3,3.0,5.0,???,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Bone Park Bould… > Honeymoon Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108358582/pickle-jar
119070888,Just a Small Town Dog,5.9 YDS,Trad,1,70.0,3.0,3.0,4.0,Alex Garhart and Nadia Almuti,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Main Canyon: Un… > Mother's Buttress > Hank's World > Playground > 
                    Sort Routes
            ",https://www.mountainproject.com/route/119070888/just-a-small-town-dog
107443671,Conjugal Visit,V3 YDS,Boulder,1,9.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Mecca Boulder Area > Mecca Area > Misfit Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107443671/conjugal-visit
107307034,Brunch,V4- YDS,Boulder,1,12.0,3.0,2.0,1.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Freight Yard Bo… > Superchief  Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107307034/brunch
115409599,You May Rely On It,V3 YDS,Boulder,1,10.0,2.0,1.0,1.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Rock Garden Bou… > Magic Eight Ball Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/115409599/you-may-rely-on-it
113459245,We Are the Whistle,V1 YDS,Boulder,1,10.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Zephyr Boulders > Capitulation Stone > 
                    Sort Routes
            ",https://www.mountainproject.com/route/113459245/we-are-the-whistle
108275933,Party of 6,V3+ YDS,Boulder,1,13.0,2.8,5.0,13.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Rock Garden Bou… > Pole Block > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108275933/party-of-6
118784649,Bruce Wayne,V0 YDS,Boulder,1,10.0,2.0,3.0,7.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Late Bloomer Bo… > Bat Cave > 
                    Sort Routes
            ",https://www.mountainproject.com/route/118784649/bruce-wayne
113811464,Pletharete,V10 YDS,Boulder,1,,3.2,11.0,12.0,Chandler Baldwin,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Bone Park Bould… > Plethora Boulder (Rig… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/113811464/pletharete
120494114,Maka's Revenge,5.11 YDS,Sport,1,90.0,2.8,5.0,4.0,xddd & Dillon R.,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Roped > Pet Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120494114/makas-revenge
112844029,Mesa Was Sold On a Monday,V1 YDS,Boulder,1,8.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Rock Garden Bou… > Rock Garden Boulder A… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/112844029/mesa-was-sold-on-a-monday
108304941,Cab Driving Aristocrat,V3 YDS,Boulder,1,12.0,2.2,5.0,8.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Area 51 Boulder… > Declassified Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108304941/cab-driving-aristocrat
117707206,Mooglie,V1-2 YDS,Boulder,1,6.0,1.0,1.0,0.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Mecca Boulder Area > Pink Floyd Area > Elephant Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/117707206/mooglie
120311837,Little Heli,V0 YDS,Boulder,1,20.0,2.5,2.0,1.0,unknown,"All Locations > Colorado > Grand Junction… > Unaweep Canyon > Nine Mile Hill > Nine Mile Bould… > Four Blocks Bou… > Tiger-Heli Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120311837/little-heli
120719477,Little Hulkster,5.9+ YDS,Trad,1,30.0,1.5,2.0,2.0,"Drew Whitley, Mike Robinson, 5/15/21","All Locations > Colorado > Grand Junction… > Unaweep Canyon > Main Canyon: Un… > Access Fund Tra… > Hidden Valley Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/120719477/little-hulkster
