Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105833613,Cirque du Soleil,5.12c YDS,Sport,1,50.0,2.6,11,10.0,"FFA Bob Horan, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105833613/cirque-du-soleil
105762693,Technical Remote Viewing,5.10d YDS,Sport,1,60.0,1.9,40,85.0,"Vaino Kodas, Moe Hershoff, 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105762693/technical-remote-viewing
110637634,Outta This World,5.12a YDS,Trad,1,75.0,3.0,2,0.0,"Chris Weidner, June 18, 2015","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/110637634/outta-this-world
105831283,Far From The Madding Crowd,5.11b/c YDS,Sport,1,60.0,1.8,5,1.0,"Vaino Kodas, Mary Zuvela, 2004","All Locations > Colorado > Boulder > Upper Dream Canyon > Classic Cliff > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831283/far-from-the-madding-crowd
105758572,Dream Scene,5.11b YDS,Sport,1,60.0,1.8,18,33.0,Bob Horan and Steve Mestdagh,"All Locations > Colorado > Boulder > Upper Dream Canyon > Terrace > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758572/dream-scene
105753049,Freedom,5.9+ YDS,Sport,1,80.0,1.7,62,127.0,"Bob Horan and Mark Kalin, June 1997","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105753049/freedom
105831242,Deus Ex Machina,5.11b YDS,Sport,1,60.0,1.5,4,2.0,"Vaino Kodas, Mary Zuvela, 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831242/deus-ex-machina
105748535,Sea of Dreams,5.10d YDS,Sport,1,,2.1,17,20.0,"Richard Rossiter and Bonnie Von Grebe, 1997","All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748535/sea-of-dreams
105748660,Mes Amis,5.9+ YDS,Sport,1,65.0,2.1,29,40.0,"Bob Horan and Werner Braun, 1996","All Locations > Colorado > Boulder > Upper Dream Canyon > Water Slabs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748660/mes-amis
105756301,Wake of the Flood aka Challenges of Leisure,5.13a YDS,Sport Fixed Hardware,1,,3.2,33,45.0,"FA: Bob Horan, 1997; FFA: Bob Horan with Jim Ghiselli, Spring 1999? Jim Redo?","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105756301/wake-of-the-flood-aka-challenges-of-leisure
105748544,Stained Glass,5.11b YDS,Sport,2,180.0,2.9,89,212.0,"Dan Hare and Fremont Shields, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748544/stained-glass
106339561,Standback,5.11a YDS,Sport,1,75.0,2.4,7,5.0,"Bob Horan, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106339561/standback
105748672,Pirate Radar,5.12a YDS,Sport,1,,2.8,8,10.0,"Bob Horan, Chule Lee, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748672/pirate-radar
105831234,Flake Out AKA Flake Roof,5.12 YDS,Sport,1,80.0,3.0,5,3.0,"Vaino Kodas, Mary Zuvela, 2004","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831234/flake-out-aka-flake-roof
106532489,Switchback,5.11a/b YDS,Trad,1,,1.0,1,1.0,"Kent McClannan, Mike Alkaitis, 2008","All Locations > Colorado > Boulder > Upper Dream Canyon > Universal Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106532489/switchback
105755011,The Vanishing,5.11c YDS,Sport,1,,2.7,11,15.0,"Richard Rossiter, Dan Hare, Amy Reynolds, 1997","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755011/the-vanishing
105834734,Flying Vee,5.10a YDS,Trad,1,80.0,2.1,8,9.0,"Kyle Copeland, Tim Hudgel, Karl Rasmussen, 1984","All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105834734/flying-vee
105851586,Karma Chameleon,5.11b/c YDS,Sport,1,90.0,1.7,3,1.0,"Bob Horan, Clean Dan Grandusky, and Jerry Greenleaf","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105851586/karma-chameleon
105748666,The Mantra,5.11 YDS,Sport,1,,2.8,50,,"Richard Rossiter and Gail Effron, June 1996","All Locations > Colorado > Boulder > Upper Dream Canyon > Icon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748666/the-mantra
105757336,China Doll,5.9 YDS,Trad,6,350.0,2.4,11,39.0,"Kyle Copeland and Marc Hirt, 1981","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757336/china-doll
106347470,Kid's Line,5.10a/b YDS,Trad,1,45.0,2.0,2,1.0,"Bob Horan, 1/2009","All Locations > Colorado > Boulder > Upper Dream Canyon > Jessica's Block > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106347470/kids-line
106339579,Diggerdido,5.12a YDS,Sport,1,75.0,2.3,3,4.0,"Bob Horan and Matt Bebe, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106339579/diggerdido
105748577,Awakenings,5.12a YDS,Sport,3,,2.6,18,32.0,Dan Hare,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748577/awakenings
105761406,Dynamometer,5.12d YDS,Sport,3,300.0,2.9,16,38.0,"Moe Hershoff, Dan Hare, 2002","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761406/dynamometer
111889935,Disillusioned Reality,,Trad,1,85.0,3.3,3,1.0,Hayden Robinson,"All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111889935/disillusioned-reality
106339574,Dreamer's Dream,5.11a YDS,Sport,1,75.0,2.3,3,7.0,"Bob Horan and Matt Bebe, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106339574/dreamers-dream
105762690,Standard Route,5.6 YDS,Sport,1,60.0,1.3,36,74.0,"Moe Hershoff, Vaino Kodas, 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105762690/standard-route
119392949,Irish Goodbye,5.8 YDS,Trad,1,70.0,2.0,2,,"Ewan Davies , Garrett L , Aug. 2020","All Locations > Colorado > Boulder > Upper Dream Canyon > Thunder Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/119392949/irish-goodbye
106339630,Equator,5.11b YDS,Sport,1,60.0,2.8,8,24.0,"Bob Horan and John Baldwin, 1996.","All Locations > Colorado > Boulder > Upper Dream Canyon > Universal Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106339630/equator
107677803,Whippers in Time,5.12a YDS,Sport,1,,2.6,18,38.0,"Todd Bol, Stephen Nance","All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107677803/whippers-in-time
105748517,Dream On,5.11d YDS,Sport Fixed Hardware,1,,2.4,38,88.0,Steve Sangdahl and John Baldwin,"All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748517/dream-on
105748505,Wrinkles in Time,5.9- YDS,Trad,2,,3.2,440,1217.0,"Richard Rossiter and Bonnie Von Grebe, June 1996","All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748505/wrinkles-in-time
105764484,The Host,5.11d YDS,Sport,1,60.0,2.0,7,6.0,"Vaino Kodas & Moe Hershoff, 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105764484/the-host
106353787,The Candle Stick,5.8- YDS,Trad,1,65.0,2.0,1,0.0,"Bob Horan and John Baldwinn, 2009","All Locations > Colorado > Boulder > Upper Dream Canyon > Candle Stick Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106353787/the-candle-stick
107750840,Chocolate Nut Factory,5.9- YDS,Trad,1,50.0,2.0,139,600.0,"Dan Hare, Stephen Nance","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107750840/chocolate-nut-factory
123813069,Serp du Soleil,5.13a YDS,Sport,1,70.0,2.0,1,1.0,"Matt Samet, Ted Lanzano, 12/17","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/123813069/serp-du-soleil
117533938,Peanut Butter Doobie Time,V0- YDS,Boulder,1,,1.0,1,0.0,unknown,"All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/117533938/peanut-butter-doobie-time
105934272,Union with Earth,5.10c YDS,Sport,1,70.0,1.8,13,25.0,"Bob Horan, Skip Guerin, Dick Cilley, 1980","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105934272/union-with-earth
107747977,Poundcakes,5.8+ YDS,Trad,1,60.0,1.7,13,29.0,Todd Bol,"All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107747977/poundcakes
114504069,After Hours Superpowers,5.13a YDS,Sport,1,75.0,3.0,5,7.0,"Chris Weidner; March 22, 2018","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/114504069/after-hours-superpowers
105847117,Spiders and Snakes,5.11c/d YDS,Sport,1,40.0,2.9,25,34.0,"Bob Horan, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Spider's Den > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105847117/spiders-and-snakes
107557533,Route between Timeless and Gully Washer,5.8 YDS,Sport,1,40.0,0.5,23,31.0,unknown,"All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107557533/route-between-timeless-and-gully-washer
106367979,For Granite,5.10d YDS,Sport,1,60.0,3.0,2,1.0,"BH/GC, 2009","All Locations > Colorado > Boulder > Upper Dream Canyon > Chamber > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106367979/for-granite
105757384,Center Tap Corner,5.7 YDS,Trad,1,50.0,2.2,18,31.0,Sheets and Copeland,"All Locations > Colorado > Boulder > Upper Dream Canyon > Thunder Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757384/center-tap-corner
105845009,Naked Lunch,5.11c YDS,Sport,5,360.0,2.9,53,104.0,"Adams & Hare, 2002","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105845009/naked-lunch
